event_id,ticker,event_date,announcement_type,firm_size_log,firm_size_source,sector,sector_source,alpha,beta,CAR_short,CAR_long,sector_binary
0001193125-25-155007:d91487dex991.htm,XRX,2025-07-02,M&A,19.774366289866396,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),-0.0024708588614794046,1.363146688671271,-0.04224002289358184,-0.2403123138941001,Non-Technology
0001213900-26-069795:ea029521601ex99-1.htm,MYSE,2026-06-18,partnership,16.21017032944153,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.0037469329018966512,2.1191005145757122,0.22437750650847366,-0.11036791779290657,Technology
0001493152-26-008435:ex99-1.htm,KAPA,2026-03-02,M&A,15.695581225714482,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),-0.0005444911199830563,2.4427946880430405,0.09338665790198303,-0.01966961843778654,Non-Technology
0001185185-25-000690:mitiex99-1.htm,MITI,2025-06-25,R&D,13.638323397569293,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.007699400238126009,0.467415256548748,0.07910554663436942,-0.7460959092582475,Technology
0001213900-25-059641:ea024758501ex99-1_richtech.htm,RR,2025-06-30,M&A,19.576008130432616,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),0.01950245429059454,2.184099870549053,-0.07866196352088317,-0.5558829247486183,Non-Technology
0001493152-26-029886:ex99-1.htm,MAMO,2026-06-24,M&A,17.564397313980145,Direct gap-fill (yfinance),Consumer Cyclical,Direct gap-fill (yfinance),-0.006538162996558454,1.2277085045192198,-0.013797354036346911,0.20869230977625716,Non-Technology
0001493152-26-025539:ex99-2.htm,NXXT,2026-05-28,R&D,17.63500108220886,Direct gap-fill (yfinance),Utilities,Direct gap-fill (yfinance),-0.010541403939078419,1.9242979749078308,-0.1455901151415942,-0.3995095239367289,Non-Technology
0001493152-25-016923:ex99-1.htm,AIXC,2025-10-03,M&A,16.41013207942688,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.0037964665921746644,0.28204363671857624,-0.060257860422182376,-0.46964698008405065,Technology
0001493152-25-000996:ex99-2.htm,RDZN,2025-01-06,R&D,18.392764527128453,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.007602194485566966,1.6997953806433974,-0.20866282665460303,-0.38402734901486035,Technology
0001193125-25-261623:d10924dex991.htm,VRT,2025-11-03,M&A,25.255882413136547,Index reference (Step 2),Industrials,GICS (S&P 500),0.003086055618477963,1.9846543644873718,-0.011935371612185223,-0.2317924374131182,Non-Technology
