query,cik,company_name,form_type,file_date,accession_no,adsh,file_name
"""AI partnership""",0001830214,"Ginkgo Bioworks Holdings, Inc.  (DNA, DNA-WT)  (CIK 0001830214)",8-K,2023-11-08,0001628280-23-037916:ex-991q32023earnings.htm,0001628280-23-037916,
"""AI partnership""",0001830214,"Ginkgo Bioworks Holdings, Inc.  (DNA, DNA-WT)  (CIK 0001830214)",8-K,2023-08-29,0000950170-23-044892:dna-ex99_1.htm,0000950170-23-044892,
"""AI partnership""",0001830214,"Ginkgo Bioworks Holdings, Inc.  (DNA, DNA-WT)  (CIK 0001830214)",8-K,2023-08-29,0000950170-23-044892:dna-20230829.htm,0000950170-23-044892,
"""AI partnership""",0001570585,"Liberty Global Ltd.  (LBTYA, LBTYB, LBTYK)  (CIK 0001570585)",8-K,2026-02-03,0001570585-26-000004:ex991lgandgooglecloudannou.htm,0001570585-26-000004,
"""AI partnership""",0001824502,"Archer Aviation Inc.  (ACHR, ACHR-WT)  (CIK 0001824502)",8-K,2025-05-12,0001628280-25-024657:archershareholderletter-.htm,0001628280-25-024657,
"""AI partnership""",0001824502,"Archer Aviation Inc.  (ACHR, ACHR-WT)  (CIK 0001824502)",8-K,2025-05-12,0001628280-25-024657:archerq125earningspressr.htm,0001628280-25-024657,
"""AI partnership""",0001388658,"iRhythm Technologies, Inc.  (IRTC)  (CIK 0001388658)",8-K,2025-07-31,0001388658-25-000194:irtcq22025ex991pressrelease.htm,0001388658-25-000194,
"""AI partnership""",0001837254,Functional Brands Inc.  (MEHA)  (CIK 0001837254),8-K,2026-05-18,0001213900-26-058120:ea029125801ex99-1.htm,0001213900-26-058120,
"""AI partnership""",0001388658,"iRhythm Technologies, Inc.  (IRTC)  (CIK 0001388658)",8-K,2025-11-12,0001388658-25-000219:irtc2025off-seasonproxyo.htm,0001388658-25-000219,
"""AI partnership""",0001885998,"Roth CH Acquisition V Co.  (ROCL, ROCLU, ROCLW)  (CIK 0001885998)",8-K,2024-11-12,0001104659-24-116487:tm2428033d1_ex99-2.htm,0001104659-24-116487,
"""AI partnership""",0001853044,"Aeries Technology, Inc.  (AERT, AERTW)  (CIK 0001853044)",8-K,2025-11-10,0001829126-25-008939:aeriestech_ex99-1.htm,0001829126-25-008939,
"""AI partnership""",0001804176,"Butterfly Network, Inc.  (BFLY, BFLY-WT)  (CIK 0001804176)",8-K,2025-02-28,0001628280-25-008868:bfly-20250228xexx991.htm,0001628280-25-008868,
"""AI partnership""",0000029989,OMNICOM GROUP INC.  (OMC)  (CIK 0000029989),8-K,2023-04-18,0000029989-23-000010:a2023q1investorpresentat.htm,0000029989-23-000010,
"""AI partnership""",0000064463,"Soluna Holdings, Inc  (SLNH, SLNHP)  (CIK 0000064463)",8-K,2026-05-18,0001493152-26-024060:ex99-1.htm,0001493152-26-024060,
"""AI partnership""",0001462056,"Backblaze, Inc.  (BLZE)  (CIK 0001462056)",8-K,2025-05-07,0001628280-25-023132:ex991blze20250331earningsp.htm,0001628280-25-023132,
"""AI partnership""",0001734722,"UiPath, Inc.  (PATH)  (CIK 0001734722)",8-K,2025-05-29,0001734722-25-000026:path-20250430xex991.htm,0001734722-25-000026,
