accession_no,cik,ticker,event_date,total_assets,total_liabilities,revenue,rd_expense,log_assets,leverage_ratio,rd_intensity,prior_ai_disclosure_count
0001652044-23-000013:googexhibit991q42022.htm,1652044,GOOG,2023-02-02,365264000000.0,109120000000.0,257637000000.0,39500000000.0,26.623886216753668,0.29874282710587413,0.15331648792681177,0
0001326801-23-000063:meta03312023-exhibit991.htm,1326801,META,2023-04-26,184491000000.0,59696000000.0,38924000000.0,9381000000.0,25.94086651874938,0.32357133952333716,0.24100811838454425,0
0000019617-23-000388:investordaypresentation.htm,19617,JPM,2023-05-22,3744305000000.0,3441223000000.0,128695000000.0,,28.951257134901123,0.9190552051715872,,0
0001108524-23-000021:crm-q1fy24xexhibit991.htm,1108524,CRM,2023-05-31,93541000000.0,36129000000.0,8391984000.0,1207000000.0,25.261665679800647,0.3862370511326584,0.1438277289375194,0
0000072971-24-000004:ex993-wellsfargo4q23pres.htm,72971,WFC,2024-01-12,1932468000000.0,1745025000000.0,54415000000.0,,28.28981905840931,0.9030033097572637,,0
0001193125-24-012173:d152784dex991.htm,1580864,VRM,2024-01-22,1475422000.0,1353271000.0,893203000.0,,21.112209887513824,0.917209449228763,,0
0001493152-24-004894:ex99-1.htm,278165,OMQS,2024-02-05,39486000.0,74506000.0,15180547.0,2154000.0,17.49145673666631,1.8868966215873981,0.1418921202246533,0
0001493152-24-005096:ex99-2.htm,1829247,BFRG,2024-02-06,2776586.0,184350.0,65000.0,1432614.0,14.83673267343226,0.06639448589022634,22.040215384615383,0
0001907982-24-000015:d-wavezapataaixpressrele.htm,1907982,QBTS,2024-02-08,59356000.0,83837000.0,8758000.0,37878000.0,17.899063769108153,1.4124435608868522,4.324960036538022,0
0001493152-24-005796:ex99-1.htm,1498148,AITX,2024-02-12,7136418.0,43329072.0,1368551.0,2243431.0,15.780721527759646,6.071543454993808,1.639274678108452,0
0001493152-24-006806:ex99-1.htm,1498148,AITX,2024-02-15,7136418.0,43329072.0,1368551.0,2243431.0,15.780721527759646,6.071543454993808,1.639274678108452,1
0001493152-24-007075:ex99-1.htm,1498148,AITX,2024-02-20,7136418.0,43329072.0,1368551.0,2243431.0,15.780721527759646,6.071543454993808,1.639274678108452,2
0001140361-24-008680:ef20022054_ex99-1.htm,1368514,ADMA,2024-02-21,329182000.0,193976000.0,16048618.0,3300000.0,19.612121347265003,0.5892667278283745,0.20562518218079587,0
0001420720-24-000012:ibio-20240226xex99d1.htm,1420720,IBIO,2024-02-26,34022000.0,24825000.0,50000.0,3141000.0,17.342517932151665,0.7296749162306743,62.82,0
0001493152-24-008481:ex99-1.htm,64463,SLNH,2024-03-01,91276000.0,37917000.0,21066000.0,1196000.0,18.329398441348452,0.4154104036110259,0.0567739485426754,0
0001493152-24-009491:ex99-1.htm,1577445,ODYS,2024-03-11,22829000.0,5022000.0,222000.0,5602000.0,16.94354221553175,0.21998335450523457,25.234234234234233,0
0000796343-24-000057:adbeex991q124.htm,796343,ADBE,2024-03-14,28751000000.0,13291000000.0,5182000000.0,,24.081938386193567,0.4622795728844214,,0
0001213900-24-025128:ea02023101ex99-5_spectralai.htm,1833498,MDAI,2024-03-22,10692000.0,12401000.0,18056000.0,15100000.0,16.185006356240947,1.1598391320613544,0.83628710677891,0
0001079973-24-000416:ex99x1.htm,1325964,LWLG,2024-03-25,41783585.0,5349771.0,40502.0,15903689.0,17.548014117017548,0.1280352320175495,392.6642881832996,0
0001493152-24-011349:ex99-1.htm,1515139,WAST,2024-03-26,1682134.0,2580767.0,11150.0,,14.335573783404799,1.5342220060946392,,0
0001193125-24-083524:d817256dex21.htm,946581,TTWO,2024-04-01,12216900000.0,6549000000.0,5349600000.0,69576000.0,23.22608607601929,0.5360607027969452,0.013005832211754149,0
0001193125-24-089086:d811217dex991.htm,1758730,TW,2024-04-08,7395949000.0,1319922000.0,892659000.0,,22.72419825482826,0.17846553566012963,,0
0001493152-24-014264:ex99-1.htm,1498148,AITX,2024-04-11,7596791.0,47796348.0,1368551.0,2878134.0,15.843236479247379,6.291649724205918,2.1030520601716707,3
0001493152-24-014621:ex99-1.htm,1211805,MYSZ,2024-04-15,6670000.0,2917000.0,142000.0,132000.0,15.713130417891806,0.4373313343328336,0.9295774647887324,0
0000950170-24-045659:lifw-ex99_1.htm,1802450,MSPR,2024-04-18,3036316000.0,1792817000.0,,,21.833910775384872,0.5904579760472889,,0
0001104659-24-049691:tm249625d4_ex99-1.htm,1720893,BTAI,2024-04-22,82323000.0,154686000.0,0.0,11401000.0,18.22616109197472,1.8790131554972487,,0
0001493152-24-015849:ex99-1.htm,1498148,AITX,2024-04-25,7596791.0,47796348.0,1368551.0,2878134.0,15.843236479247379,6.291649724205918,2.1030520601716707,4
0001493152-24-016839:ex99-1.htm,908259,OTLC,2024-04-29,29974410.0,18725020.0,70000.0,480.0,17.215854575614912,0.6247002026061563,0.006857142857142857,0
0001683168-24-002761:mosaic_ex9901.htm,836564,CPMV,2024-04-29,78952.0,6233635.0,,67311.0,11.276595351851842,78.95474465498025,,0
0001193125-24-125080:d810346dex991.htm,1023313,FORR,2024-04-30,555670000.0,324739000.0,217864000.0,,20.135685150829207,0.5844098115788148,,0
0001493152-24-017327:ex99-1.htm,1498148,AITX,2024-05-01,7596791.0,47796348.0,1368551.0,2878134.0,15.843236479247379,6.291649724205918,2.1030520601716707,5
0001213900-24-040159:ea020533001ex99-1_real.htm,1859199,AIRE,2024-05-06,25372103.0,2082363.0,20426.0,,17.049160821320935,0.08207293656343741,,0
