ticker,market_cap_usd,market_cap_log,firm_size_source
A,39080103936.0,24.38887932368757,Index reference (Step 2)
AAPL,4537070911488.0,29.143302746086647,Index reference (Step 2)
ABBV,443359002624.0,26.817645668473563,Index reference (Step 2)
ABNB,89927868416.0,25.22227372388982,Index reference (Step 2)
ABT,184109645824.0,25.93879731829416,Index reference (Step 2)
ACGL,34280728576.0,24.257849184125742,Index reference (Step 2)
ACN,101533425664.0,25.343653898102048,Index reference (Step 2)
ADBE,99537977344.0,25.32380509013821,Index reference (Step 2)
ADI,178960646144.0,25.91043176467161,Index reference (Step 2)
ADM,38204690432.0,24.366224131199345,Index reference (Step 2)
ADP,105997787136.0,25.386684054765094,Index reference (Step 2)
ADSK,49450217472.0,24.62423229282144,Index reference (Step 2)
AEE,30334744576.0,24.13555957819644,Index reference (Step 2)
AEP,69601206272.0,24.96604773563085,Index reference (Step 2)
AES,10469154816.0,23.07169913421517,Index reference (Step 2)
AFL,64885395456.0,24.895888403838462,Index reference (Step 2)
AIG,41663606784.0,24.45289384569996,Index reference (Step 2)
AIZ,13833204736.0,23.35033767927897,Index reference (Step 2)
AJG,64086474752.0,24.883499176300024,Index reference (Step 2)
AKAM,16745496576.0,23.541395197933525,Index reference (Step 2)
ALB,13873831936.0,23.35327030824238,Index reference (Step 2)
ALGN,12114922496.0,23.217703793835792,Index reference (Step 2)
ALL,67979714560.0,24.94247518232354,Index reference (Step 2)
ALLE,13384788992.0,23.317384749281956,Index reference (Step 2)
AMAT,403069403136.0,26.722374600283946,Index reference (Step 2)
AMCR,20750075904.0,23.755815741640525,Index reference (Step 2)
AMD,776410431488.0,27.37794712386456,Index reference (Step 2)
AME,55400660992.0,24.73785736189201,Index reference (Step 2)
AMGN,207874048000.0,26.06019819477373,Index reference (Step 2)
AMP,48252260352.0,24.59970851030771,Index reference (Step 2)
AMT,80778838016.0,25.114980862427583,Index reference (Step 2)
AMZN,2921415835648.0,28.70308948991665,Index reference (Step 2)
ANET,227091218432.0,26.148617617023188,Index reference (Step 2)
AON,76481822720.0,25.060318938041547,Index reference (Step 2)
AOS,8172183040.0,22.824001912084626,Index reference (Step 2)
APA,13191508992.0,23.30283920137761,Index reference (Step 2)
APD,65667739648.0,24.90787361670005,Index reference (Step 2)
APH,197698682880.0,26.01000990488531,Index reference (Step 2)
APO,72404828160.0,25.0055388214074,Index reference (Step 2)
APP,132998455296.0,25.613603350784928,Index reference (Step 2)
APTV,11950211072.0,23.204014778096813,Index reference (Step 2)
ARE,8966164480.0,22.916723827369747,Index reference (Step 2)
ARES,42250051584.0,24.466871411671924,Index reference (Step 2)
ATO,28840407040.0,24.085043262994493,Index reference (Step 2)
AVB,26504730624.0,24.00058906812005,Index reference (Step 2)
AVGO,1852030844928.0,28.24730390694257,Index reference (Step 2)
AVY,12982712320.0,23.286884487872143,Index reference (Step 2)
AWK,26663469056.0,24.00656026536236,Index reference (Step 2)
AXON,42538553344.0,24.47367663918209,Index reference (Step 2)
AXP,227072933888.0,26.14853709748453,Index reference (Step 2)
AZO,49241350144.0,24.619999557545565,Index reference (Step 2)
BA,170705747968.0,25.863207139103142,Index reference (Step 2)
BAC,434763104256.0,26.798067131775998,Index reference (Step 2)
BALL,17279399936.0,23.57278087379344,Index reference (Step 2)
BAX,13524615168.0,23.32777720789153,Index reference (Step 2)
BBY,18180771840.0,23.623630380240083,Index reference (Step 2)
BDX,45635002368.0,24.543940854805246,Index reference (Step 2)
BEN,17594914816.0,23.59087576633285,Index reference (Step 2)
BF-B,13183169536.0,23.302206817838293,Index reference (Step 2)
BG,20408815616.0,23.739232782491047,Index reference (Step 2)
BIIB,29986674688.0,24.124018942866044,Index reference (Step 2)
BKNG,149474050048.0,25.73038863643645,Index reference (Step 2)
BKR,60046856192.0,24.81839103092957,Index reference (Step 2)
BLDR,7148708864.0,22.69019759888453,Index reference (Step 2)
BLK,177299947520.0,25.901108754031043,Index reference (Step 2)
BMY,133409685504.0,25.616690572769837,Index reference (Step 2)
BNY,106070532096.0,25.387370106912037,Index reference (Step 2)
BR,17805594624.0,23.60277854958017,Index reference (Step 2)
BRK-B,1103317041152.0,27.72934225021289,Index reference (Step 2)
BRO,23556571136.0,23.88267064761696,Index reference (Step 2)
BSX,69457379328.0,24.96397915432512,Index reference (Step 2)
BX,158998593536.0,25.792161193441984,Index reference (Step 2)
BXP,12503197696.0,23.249250264219416,Index reference (Step 2)
C,222171627520.0,26.126716017070123,Index reference (Step 2)
CAH,53874372608.0,24.70992073997537,Index reference (Step 2)
CARR,51338178560.0,24.661700533770176,Index reference (Step 2)
CASY,32231278592.0,24.196203202852544,Index reference (Step 2)
CAT,375294951424.0,26.650978090889257,Index reference (Step 2)
CB,135292297216.0,25.63070343935691,Index reference (Step 2)
CBOE,32466745344.0,24.203482182250344,Index reference (Step 2)
CBRE,42512547840.0,24.473065112595176,Index reference (Step 2)
CCI,33343100928.0,24.23011671918212,Index reference (Step 2)
CCL,38089940992.0,24.363216068262712,Index reference (Step 2)
CDNS,93782949888.0,25.26424890551941,Index reference (Step 2)
CDW,18883235840.0,23.66154037280872,Index reference (Step 2)
CEG,93828554752.0,25.26473506829483,Index reference (Step 2)
CF,19232849920.0,23.67988558733437,Index reference (Step 2)
CFG,30284855296.0,24.133913599292956,Index reference (Step 2)
CHD,23412396032.0,23.876531464002007,Index reference (Step 2)
CHRW,17413384192.0,23.580504953916027,Index reference (Step 2)
CHTR,19540039680.0,23.69573151426523,Index reference (Step 2)
CI,73736306688.0,25.023761142900035,Index reference (Step 2)
CIEN,53372530688.0,24.70056204396834,Index reference (Step 2)
CINF,27269978112.0,24.029052231163323,Index reference (Step 2)
CL,73057288192.0,25.01450974007745,Index reference (Step 2)
CLX,11551617024.0,23.17009126619276,Index reference (Step 2)
CMCSA,85025333248.0,25.166215087243927,Index reference (Step 2)
CME,96291733504.0,25.290648310985976,Index reference (Step 2)
CMG,47188930560.0,24.57742517999943,Index reference (Step 2)
CMI,87512670208.0,25.19504942220427,Index reference (Step 2)
CMS,22239123456.0,23.825118892602443,Index reference (Step 2)
CNC,30736369664.0,24.14871246996952,Index reference (Step 2)
CNP,27692599296.0,24.04443104101292,Index reference (Step 2)
COF,128227639296.0,25.57707295332829,Index reference (Step 2)
COHR,51431624704.0,24.663519086823413,Index reference (Step 2)
COIN,38588788736.0,24.37622762397534,Index reference (Step 2)
COO,14104614912.0,23.3697678795034,Index reference (Step 2)
COP,146780061696.0,25.712201124392983,Index reference (Step 2)
COR,60574638080.0,24.827142128889097,Index reference (Step 2)
COST,422143066112.0,26.76861011275114,Index reference (Step 2)
CPAY,24975441920.0,23.941158855818976,Index reference (Step 2)
CPRT,28051542016.0,24.05730944123655,Index reference (Step 2)
CPT,10980228096.0,23.11936204658252,Index reference (Step 2)
CRH,63208681472.0,24.8697074937288,Index reference (Step 2)
CRL,11199477760.0,23.139132985588887,Index reference (Step 2)
CRM,150712385536.0,25.738639125903777,Index reference (Step 2)
CRWD,194344960000.0,25.99290056131256,Index reference (Step 2)
CSCO,457166979072.0,26.8483145420068,Index reference (Step 2)
CSGP,11653483520.0,23.17887098685444,Index reference (Step 2)
CSX,93364740096.0,25.25977959587235,Index reference (Step 2)
CTAS,81886699520.0,25.128602415594088,Index reference (Step 2)
CTSH,26180548608.0,23.98828255244161,Index reference (Step 2)
CTVA,52642820096.0,24.68679569578076,Index reference (Step 2)
CVNA,92796190720.0,25.2536714276202,Index reference (Step 2)
CVS,133245091840.0,25.61545606509258,Index reference (Step 2)
CVX,392006172672.0,26.69454342322514,Index reference (Step 2)
D,60836806656.0,24.831460815386016,Index reference (Step 2)
DAL,57502560256.0,24.77509530994976,Index reference (Step 2)
DASH,85470584832.0,25.17143811664217,Index reference (Step 2)
DD,18497658880.0,23.640910013995917,Index reference (Step 2)
DDOG,95386656768.0,25.281204539454947,Index reference (Step 2)
DE,160084492288.0,25.798967589596757,Index reference (Step 2)
DECK,13193297920.0,23.302974804265187,Index reference (Step 2)
DELL,261926748160.0,26.291330714440157,Index reference (Step 2)
DG,28025532416.0,24.056381803618915,Index reference (Step 2)
DGX,25718095872.0,23.970460700604804,Index reference (Step 2)
DHI,40014065664.0,24.41249687084893,Index reference (Step 2)
DHR,137068216320.0,25.643744568191924,Index reference (Step 2)
DIS,167035043840.0,25.84146947070242,Index reference (Step 2)
DLR,70934233088.0,24.98501899017662,Index reference (Step 2)
DLTR,24446529536.0,23.919754101524784,Index reference (Step 2)
DOC,15050032128.0,23.43464596288985,Index reference (Step 2)
DOV,27558266880.0,24.03956839577343,Index reference (Step 2)
DOW,21879701504.0,23.80882517199397,Index reference (Step 2)
DPZ,11493918720.0,23.165083925491384,Index reference (Step 2)
DRI,23317035008.0,23.872450046605973,Index reference (Step 2)
DTE,29521453056.0,24.10838305823151,Index reference (Step 2)
DUK,97784758272.0,25.30603455595238,Index reference (Step 2)
DVA,15410176000.0,23.458293907368308,Index reference (Step 2)
DVN,52053086208.0,24.67552992339083,Index reference (Step 2)
DXCM,31490754560.0,24.17295983366493,Index reference (Step 2)
EA,52622708736.0,24.686413588542656,Index reference (Step 2)
EBAY,50620440576.0,24.64762129562093,Index reference (Step 2)
ECHO,24370415616.0,23.916635758849264,Index reference (Step 2)
ECL,78135492608.0,25.08171024136721,Index reference (Step 2)
ED,40114458624.0,24.41500267046081,Index reference (Step 2)
EFX,20280242176.0,23.73291295721545,Index reference (Step 2)
EG,14479604736.0,23.39600692629384,Index reference (Step 2)
EIX,28233803776.0,24.06378581246573,Index reference (Step 2)
EL,30354593792.0,24.136213703525254,Index reference (Step 2)
ELV,81508155392.0,25.123968918346453,Index reference (Step 2)
EME,35174555648.0,24.283588807258685,Index reference (Step 2)
EMR,83914178560.0,25.153060429705533,Index reference (Step 2)
EOG,79196536832.0,25.095198407942057,Index reference (Step 2)
EQIX,100574085120.0,25.334160458245737,Index reference (Step 2)
EQR,25674684416.0,23.96877130119572,Index reference (Step 2)
EQT,33333749760.0,24.22983622698836,Index reference (Step 2)
ERIE,12656239616.0,23.26141618078869,Index reference (Step 2)
ES,26923567104.0,24.016267840522595,Index reference (Step 2)
ESS,19584690176.0,23.698013984485414,Index reference (Step 2)
ETN,161222164480.0,25.80604915434132,Index reference (Step 2)
ETR,50218881024.0,24.639656908946133,Index reference (Step 2)
EVRG,19134885888.0,23.674778992283954,Index reference (Step 2)
EW,49559105536.0,24.62643184544117,Index reference (Step 2)
EXC,47206236160.0,24.577791842844476,Index reference (Step 2)
EXE,22494689280.0,23.836545086296848,Index reference (Step 2)
EXPD,21958522880.0,23.812421187208837,Index reference (Step 2)
EXPE,35375304704.0,24.28927980641335,Index reference (Step 2)
EXR,32671526912.0,24.209769798902187,Index reference (Step 2)
F,58537906176.0,24.79294035016358,Index reference (Step 2)
FANG,57092534272.0,24.76793919675885,Index reference (Step 2)
FAST,54747111424.0,24.725990444872203,Index reference (Step 2)
FCX,90034372608.0,25.22345735223128,Index reference (Step 2)
FDS,9360851968.0,22.959802145515862,Index reference (Step 2)
FDX,72725053440.0,25.00995177615037,Index reference (Step 2)
FDXF,20925782016.0,23.76424782495337,Index reference (Step 2)
