index,query,cik,company_name,form_type,file_date,accession_no,adsh,file_name,is_genuine_ai_event,announcement_type,confounding_event_flag,trading_halt_flag,sufficient_history_flag,exclude_reason,filing_url,screener_notes,ticker,item_codes,item_in_scope
0,"""machine learning investment""",1144879,"Applied Blockchain, Inc.  (APLD)  (CIK 0001144879)",8-K,2023-01-10,0001144879-23-000026:apldjanuarypresentation1.htm,0001144879-23-000026,,,,Y,REVIEW,N,"confounding filing within +/-2 days; insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 7.01,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1144879,,APLD,"7.01,9.01",N
1,"""large language model""",1822145,"Presto Automation Inc.  (PRST, PRSTW)  (CIK 0001822145)",8-K,2023-01-11,0001558370-23-000205:prst-20230110xex99d1.htm,0001558370-23-000205,,,,Y,REVIEW,REVIEW,"confounding filing within +/-2 days; filed under out-of-scope item(s): 7.01,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1822145,,,"7.01,9.01",N
2,"""generative AI""",1549346,"Shutterstock, Inc.  (SSTK)  (CIK 0001549346)",8-K,2023-02-09,0001549346-23-000008:a2022-q4_exx991xpressrelea.htm,0001549346-23-000008,,,,Y,REVIEW,N,"confounding filing within +/-2 days; insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 2.02,7.01,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1549346,,SSTK,"2.02,7.01,9.01",N
3,"""generative AI""",1066194,EGAIN Corp  (EGAN)  (CIK 0001066194),8-K,2023-02-14,0001558370-23-001272:egan-20230214xex99d1.htm,0001558370-23-001272,,,,Y,REVIEW,N,"confounding filing within +/-2 days; insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 2.02,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1066194,,EGAN,"2.02,9.01",N
4,"""generative AI""",1627475,"UPWORK, INC  (UPWK)  (CIK 0001627475)",8-K,2023-02-15,0001627475-23-000004:final_q4fy22upworkshareh.htm,0001627475-23-000004,,,,Y,REVIEW,N,"confounding filing within +/-2 days; insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 2.02,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1627475,,UPWK,"2.02,9.01",N
5,"""generative AI""",1045810,NVIDIA CORP  (NVDA)  (CIK 0001045810),8-K,2023-02-22,0001045810-23-000014:q4fy23pr.htm,0001045810-23-000014,,,,Y,REVIEW,N,"confounding filing within +/-2 days; insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 2.02,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1045810,,NVDA,"2.02,9.01",N
6,"""generative AI""",903651,INNODATA INC  (INOD)  (CIK 0000903651),8-K,2023-02-23,0001104659-23-024789:tm237336d1_ex99-1.htm,0001104659-23-024789,,,,Y,REVIEW,N,"confounding filing within +/-2 days; insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 2.02,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=903651,,INOD,"2.02,9.01",N
7,"""generative AI""",1840502,"Taboola.com Ltd.  (TBLA, TBLAW)  (CIK 0001840502)",8-K,2023-02-24,0001140361-23-008422:brhc10048659_ex99-2.htm,0001140361-23-008422,,,,N,REVIEW,N,"insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 2.02,7.01,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1840502,,TBLA,"2.02,7.01,9.01",N
8,"""generative AI""",1766363,"Endeavor Group Holdings, Inc.  (EDR)  (CIK 0001766363)",8-K,2023-02-28,0001193125-23-053832:d464297dex991.htm,0001193125-23-053832,,,,Y,REVIEW,REVIEW,"confounding filing within +/-2 days; filed under out-of-scope item(s): 2.02,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1766363,,,"2.02,9.01",N
9,"""generative AI""",1562088,"Duolingo, Inc.  (DUOL)  (CIK 0001562088)",8-K,2023-02-28,0001562088-23-000050:duolingo_q4-fy2022xshare.htm,0001562088-23-000050,,,,Y,REVIEW,N,"confounding filing within +/-2 days; insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 2.02,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1562088,,DUOL,"2.02,9.01",N
10,"""generative AI""",1549346,"Shutterstock, Inc.  (SSTK)  (CIK 0001549346)",8-K,2023-02-28,0001549346-23-000013:investorday2023final.htm,0001549346-23-000013,,,,Y,REVIEW,N,"confounding filing within +/-2 days; insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 7.01,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1549346,,SSTK,"7.01,9.01",N
11,"""generative AI""",1840502,"Taboola.com Ltd.  (TBLA, TBLAW)  (CIK 0001840502)",8-K,2023-03-01,0001140361-23-009299:brhc10048919_ex99-1.htm,0001140361-23-009299,,,,Y,REVIEW,N,"confounding filing within +/-2 days; insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 7.01,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1840502,,TBLA,"7.01,9.01",N
12,"""generative AI""",1577526,"C3.ai, Inc.  (AI)  (CIK 0001577526)",8-K,2023-03-02,0001628280-23-006047:exhibit992.htm,0001628280-23-006047,,,,Y,REVIEW,N,"confounding filing within +/-2 days; insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 2.02,5.02,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1577526,,AI,"2.02,5.02,9.01",N
13,"""generative AI""",876883,Stagwell Inc  (STGW)  (CIK 0000876883),8-K,2023-03-02,0000876883-23-000004:stagwell4q22earningspres.htm,0000876883-23-000004,,,,Y,REVIEW,N,"confounding filing within +/-2 days; insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 2.02,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=876883,,STGW,"2.02,9.01",N
14,"""generative AI""",1615165,"Veritone, Inc.  (VERI)  (CIK 0001615165)",8-K,2023-03-02,0000950170-23-005822:veri-ex99_1.htm,0000950170-23-005822,,,,N,REVIEW,N,"insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 2.02,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1615165,,VERI,"2.02,9.01",N
15,"""generative AI""",1614178,"Yext, Inc.  (YEXT)  (CIK 0001614178)",8-K,2023-03-07,0001614178-23-000006:ex991q4fy23earningsrelease.htm,0001614178-23-000006,,,,Y,REVIEW,N,"confounding filing within +/-2 days; insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 2.02,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1614178,,YEXT,"2.02,9.01",N
16,"""generative AI""",1840856,"SOUNDHOUND AI, INC.  (SOUN, SOUNW)  (CIK 0001840856)",8-K,2023-03-07,0001840856-23-000014:soun-20230307ex9911.htm,0001840856-23-000014,,,,N,REVIEW,N,"insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 2.02,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1840856,,SOUN,"2.02,9.01",N
17,"""generative AI""",1840856,"SOUNDHOUND AI, INC.  (SOUN, SOUNW)  (CIK 0001840856)",8-K,2023-03-07,0001840856-23-000014:soun-20230307ex9911.htm,0001840856-23-000014,,,,N,REVIEW,N,"insufficient pre-event price history (<120 trading days); filed under out-of-scope item(s): 2.02,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1840856,,SOUNW,"2.02,9.01",N
18,"""AI acquisition""",1807707,"AppHarvest, Inc.  (CIK 0001807707)",8-K,2023-03-09,0001807707-23-000027:exhibit99q42022earningsrel.htm,0001807707-23-000027,,,,N,REVIEW,REVIEW,"filed under out-of-scope item(s): 2.02,9.01",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1807707,,,"2.02,9.01",N
