ticker,sector,sector_source
MMM,Industrials,GICS (S&P 500)
AOS,Industrials,GICS (S&P 500)
ABT,Health Care,GICS (S&P 500)
ABBV,Health Care,GICS (S&P 500)
ACN,Information Technology,GICS (S&P 500)
ADBE,Information Technology,GICS (S&P 500)
AMD,Information Technology,GICS (S&P 500)
AES,Utilities,GICS (S&P 500)
AFL,Financials,GICS (S&P 500)
A,Health Care,GICS (S&P 500)
APD,Materials,GICS (S&P 500)
ABNB,Consumer Discretionary,GICS (S&P 500)
AKAM,Information Technology,GICS (S&P 500)
ALB,Materials,GICS (S&P 500)
ARE,Real Estate,GICS (S&P 500)
ALGN,Health Care,GICS (S&P 500)
ALLE,Industrials,GICS (S&P 500)
LNT,Utilities,GICS (S&P 500)
ALL,Financials,GICS (S&P 500)
GOOGL,Communication Services,GICS (S&P 500)
GOOG,Communication Services,GICS (S&P 500)
MO,Consumer Staples,GICS (S&P 500)
AMZN,Consumer Discretionary,GICS (S&P 500)
AMCR,Materials,GICS (S&P 500)
AEE,Utilities,GICS (S&P 500)
AEP,Utilities,GICS (S&P 500)
AXP,Financials,GICS (S&P 500)
AIG,Financials,GICS (S&P 500)
AMT,Real Estate,GICS (S&P 500)
AWK,Utilities,GICS (S&P 500)
AMP,Financials,GICS (S&P 500)
AME,Industrials,GICS (S&P 500)
AMGN,Health Care,GICS (S&P 500)
APH,Information Technology,GICS (S&P 500)
ADI,Information Technology,GICS (S&P 500)
AON,Financials,GICS (S&P 500)
APA,Energy,GICS (S&P 500)
APO,Financials,GICS (S&P 500)
AAPL,Information Technology,GICS (S&P 500)
AMAT,Information Technology,GICS (S&P 500)
APP,Information Technology,GICS (S&P 500)
APTV,Consumer Discretionary,GICS (S&P 500)
ACGL,Financials,GICS (S&P 500)
ADM,Consumer Staples,GICS (S&P 500)
ARES,Financials,GICS (S&P 500)
ANET,Information Technology,GICS (S&P 500)
AJG,Financials,GICS (S&P 500)
AIZ,Financials,GICS (S&P 500)
T,Communication Services,GICS (S&P 500)
ATO,Utilities,GICS (S&P 500)
ADSK,Information Technology,GICS (S&P 500)
ADP,Industrials,GICS (S&P 500)
AZO,Consumer Discretionary,GICS (S&P 500)
AVB,Real Estate,GICS (S&P 500)
AVY,Materials,GICS (S&P 500)
AXON,Industrials,GICS (S&P 500)
BKR,Energy,GICS (S&P 500)
BALL,Materials,GICS (S&P 500)
BAC,Financials,GICS (S&P 500)
BAX,Health Care,GICS (S&P 500)
BDX,Health Care,GICS (S&P 500)
BRK-B,Financials,GICS (S&P 500)
BBY,Consumer Discretionary,GICS (S&P 500)
TECH,Health Care,GICS (S&P 500)
BIIB,Health Care,GICS (S&P 500)
BLK,Financials,GICS (S&P 500)
BX,Financials,GICS (S&P 500)
XYZ,Financials,GICS (S&P 500)
BNY,Financials,GICS (S&P 500)
BA,Industrials,GICS (S&P 500)
BKNG,Consumer Discretionary,GICS (S&P 500)
BSX,Health Care,GICS (S&P 500)
BMY,Health Care,GICS (S&P 500)
AVGO,Information Technology,GICS (S&P 500)
BR,Industrials,GICS (S&P 500)
BRO,Financials,GICS (S&P 500)
BF-B,Consumer Staples,GICS (S&P 500)
BLDR,Industrials,GICS (S&P 500)
BG,Consumer Staples,GICS (S&P 500)
BXP,Real Estate,GICS (S&P 500)
CHRW,Industrials,GICS (S&P 500)
CDNS,Information Technology,GICS (S&P 500)
CPT,Real Estate,GICS (S&P 500)
COF,Financials,GICS (S&P 500)
CAH,Health Care,GICS (S&P 500)
CCL,Consumer Discretionary,GICS (S&P 500)
CARR,Industrials,GICS (S&P 500)
CVNA,Consumer Discretionary,GICS (S&P 500)
CASY,Consumer Staples,GICS (S&P 500)
CAT,Industrials,GICS (S&P 500)
CBOE,Financials,GICS (S&P 500)
CBRE,Real Estate,GICS (S&P 500)
CDW,Information Technology,GICS (S&P 500)
COR,Health Care,GICS (S&P 500)
CNC,Health Care,GICS (S&P 500)
CNP,Utilities,GICS (S&P 500)
CF,Materials,GICS (S&P 500)
CRL,Health Care,GICS (S&P 500)
SCHW,Financials,GICS (S&P 500)
CHTR,Communication Services,GICS (S&P 500)
CVX,Energy,GICS (S&P 500)
CMG,Consumer Discretionary,GICS (S&P 500)
CB,Financials,GICS (S&P 500)
CHD,Consumer Staples,GICS (S&P 500)
CIEN,Information Technology,GICS (S&P 500)
CI,Health Care,GICS (S&P 500)
CINF,Financials,GICS (S&P 500)
CTAS,Industrials,GICS (S&P 500)
CSCO,Information Technology,GICS (S&P 500)
C,Financials,GICS (S&P 500)
CFG,Financials,GICS (S&P 500)
CLX,Consumer Staples,GICS (S&P 500)
CME,Financials,GICS (S&P 500)
CMS,Utilities,GICS (S&P 500)
KO,Consumer Staples,GICS (S&P 500)
CTSH,Information Technology,GICS (S&P 500)
COHR,Information Technology,GICS (S&P 500)
COIN,Financials,GICS (S&P 500)
CL,Consumer Staples,GICS (S&P 500)
CMCSA,Communication Services,GICS (S&P 500)
FIX,Industrials,GICS (S&P 500)
COP,Energy,GICS (S&P 500)
ED,Utilities,GICS (S&P 500)
STZ,Consumer Staples,GICS (S&P 500)
CEG,Utilities,GICS (S&P 500)
COO,Health Care,GICS (S&P 500)
CPRT,Industrials,GICS (S&P 500)
GLW,Information Technology,GICS (S&P 500)
CPAY,Financials,GICS (S&P 500)
CTVA,Materials,GICS (S&P 500)
CSGP,Real Estate,GICS (S&P 500)
COST,Consumer Staples,GICS (S&P 500)
CRH,Materials,GICS (S&P 500)
CRWD,Information Technology,GICS (S&P 500)
CCI,Real Estate,GICS (S&P 500)
CSX,Industrials,GICS (S&P 500)
CMI,Industrials,GICS (S&P 500)
CVS,Health Care,GICS (S&P 500)
DHR,Health Care,GICS (S&P 500)
DRI,Consumer Discretionary,GICS (S&P 500)
DDOG,Information Technology,GICS (S&P 500)
DVA,Health Care,GICS (S&P 500)
DECK,Consumer Discretionary,GICS (S&P 500)
DE,Industrials,GICS (S&P 500)
DELL,Information Technology,GICS (S&P 500)
DAL,Industrials,GICS (S&P 500)
DVN,Energy,GICS (S&P 500)
DXCM,Health Care,GICS (S&P 500)
FANG,Energy,GICS (S&P 500)
DLR,Real Estate,GICS (S&P 500)
DG,Consumer Staples,GICS (S&P 500)
DLTR,Consumer Staples,GICS (S&P 500)
D,Utilities,GICS (S&P 500)
DPZ,Consumer Discretionary,GICS (S&P 500)
DASH,Consumer Discretionary,GICS (S&P 500)
DOV,Industrials,GICS (S&P 500)
DOW,Materials,GICS (S&P 500)
DHI,Consumer Discretionary,GICS (S&P 500)
DTE,Utilities,GICS (S&P 500)
DUK,Utilities,GICS (S&P 500)
DD,Materials,GICS (S&P 500)
ETN,Industrials,GICS (S&P 500)
EBAY,Consumer Discretionary,GICS (S&P 500)
