sector,count,mean,median,std
Utilities,1,-0.1455901151415942,-0.1455901151415942,
Basic Materials,5,-0.04648776032485279,-0.0903866389881115,0.08571760931141266
Consumer Defensive,11,-0.03666717064813556,-0.0716173715169936,0.20208802658309738
Real Estate,8,-0.003667224360863015,-0.054951136100044956,0.25619630153039336
Consumer Cyclical,20,-0.029330841964242304,-0.03514971426755205,0.19856710303354727
Technology,157,0.010077485092761648,-0.0283337613978225,0.3560676925088423
Information Technology,5,-0.03887538740898932,-0.0273505996261386,0.05614027349346057
Energy,1,-0.0233764275513521,-0.0233764275513521,
Industrials,85,0.008275646230680769,-0.0157201532674982,0.16429638018946402
Health Care,2,-0.012543426530426598,-0.012543426530426598,0.032450473871991535
Financial Services,33,-0.015442874483675633,-0.0103571185969437,0.11911259688291874
Communication Services,36,-0.0061904974658044815,-0.0034135165395024498,0.1619346134791532
Financials,2,-0.0018273150417072496,-0.0018273150417072496,0.008772277070957693
Healthcare,73,0.0368659874931416,0.0146631614969151,0.16866304367071303
Consumer Discretionary,1,0.0368487661547839,0.0368487661547839,
